ID,캐릭터 이름,대사,선택지1,선택지1 ID,선택지2,선택지2 ID,,,정민표정,지훈표정
1,리어카를 끄는 노인,고마우이.,,,,,,,,
2,시비 거는 노인,어이` 거기!,,,,,,,,
,시비 거는 노인,눈을 어따 두고 다니는 거야?,,,,,,,,
,시비 거는 노인,쯧.,,,,,,,,
3,주인공,저기요.,,,,,,,,
,물건을 훔치는 노인,.......,,,,,,,,
,주인공,제 물건 가져가신 거 아니에요?,,,,,,,,
,물건을 훔치는 노인,.......,,,,,,,,
,주인공,(모르는 척 하네.),,,,,,,,
,주인공,........,,,,,,,,
,물건을 훔치는 노인,히히.,,,,,,,,
4,헛소리 하는 노인,못에 발이 없어.,,,,,,,,
,헛소리 하는 노인,못에 발이 없다니까?,,,,,,,,
,주인공,....,,,,,,,,
,헛소리 하는 노인,그녀석들이 나를 두고 갔어.,,,,,,,,
,헛소리 하는 노인,그녀석들이 나를 두고 갔어.,,,,,,,,
,헛소리 하는 노인,자식 새끼들 키워봐야 다 소용없다더니...,,,,,,,,
,주인공,....,,,,,,,,
,헛소리 하는 노인,내 바구니.... 어디다 놔뒀더라?,,,,,,,,
5,도움이 필요해보이는 노인,….이상하다.. 안경이 여기 어디 있었는데.....,,,,,,,,
,도움이 필요해보이는 노인,저... 학생. 혹시 내 안경 못 봤어요?,,,,,,,,
,도움이 필요해보이는 노인,이상하네...,,,,,,,,
6,도움이 필요해보이는 노인,그러고보니 우리 손주랑 똑 닮았네...,,,,,,,,
,도움이 필요해보이는 노인,하여튼 고마워요.,,,,,,,,
,도움이 필요해보이는 노인,우리 손주 같아서 주는 거야.,,,,,,,,
,주인공,안 주셔도 돼요.,,,,,,,,
,도움이 필요해보이는 노인,그러지 말고 받아.,,,,,,,,
,주인공,감사합니다.,,,,,,,,
7,도움이 필요해보이는 노인,.....아이는 살이 쏙 빠지고 바짝 말라서 .... ...... .... 들어가려고 한다.,,,,,,,,
8,도움이 필요해보이는 노인,......,,,,,,,,
9,//,자네` 이름이 어떻게 되는가?,,,,,,,,
,//,그래` 태어난 날짜는 어떻고?,,,,,,,,
,//,그건 왜....,,,,,,,,
,//,자네가 타고난 기운을 보려고 그러지.,,,,,,,,
,//,사주를 볼까?,본다 (-5000원),,보지 않는다,,,,,
10,//,주인공씨도 이런 거 관심 있으세요?,,,,,,,13,
,//,그냥 뭐....,,,,,,,,
,//,그래` 주인공.... 주인공생일이라....,,,,,,,,
,//,사주내용,,,,,,,,
11,잡상인,잠시 양해 말씀드리겠습니다.,,,,,,,,
,잡상인,고급 제품들 가지고 나왔습니다. 이번 중소기업 박람회에서 금상두 받았습니다.,,,,,,,,
,잡상인,1000원짜리 두 장` 두 장만 받겠습니다.,,,,,,,,
,잡상인,미국과 일본에서두 히트 친 상품들입니다.,,,,,,,,
12,잡상인,감사합니다. 예에.,,,,,,,,
13,잡상인,자 강아지` 강아지 장난감 있습니다.,,,,,,,,
,지훈,...히끅.,,,,,,,,4
14,사이비,여러분.,,,,,,,,
,사이비,곧 다가올 위기에 맞서 신명님께 우리는 돌아가야 합니다.,,,,,,,,
,사이비,저희 신명께서는 나 하나를 위해 이 땅에 거름이 되어 돌아가시었습니다.,,,,,,,,
,사이비,화를 피해 그분께 돌아가지 않으면 우리 모두!,,,,,,,,
,사이비,천불로 떨어질 것입니다.,진짜요?,15,(가만히 있는다),,,,,
15,주인공,진짜요?,,,,,,,,
,정민,player씨...,,,,,,,2,
,사이비,예에` 당연히! 진짜 아니겠습니까. 신명이시여` 우리를 흙으로 돌아가게 해주소서....,,,,,,,,
16,주인공,그거 진짜에요? 아닌 거 같은데....,,,,,,,,
,주인공,그럼 저 지옥...,,,,,,,,
,정민,하하` 죄송합니다,,,,,,,3,
,사이비,.....,,,,,,,,
17,음식 파는 할머니,아이구 고마워.,,,,,,,,
18,정민,....쿨,,,,,,,11,
19,//,아저씨! 나랑 가위바위보해.,한다,,하지 않는다,,,,,
,//,"에이씨.... 자, 이거 받고 꺼져.",,,,,,,,
,//,오잉?,,,,,,,,
,//,"쯧, 쯧. 나 아직 안 취했다니까?",,,,,,,,
20,사주 봐주는 노인 ,자네` 이름이 어떻게 되는가?,,,,,,,,
,사주 봐주는 노인,그래` 태어난 날짜는 어떻고?,,,,,,,,
,주인공,그건 왜....,,,,,,,,
,사주 봐주는 노인,자네가 타고난 기운을 보려고 그러지. 예로부터 명리학이란  사람이 태어나는 순간 우주로부터 부여받은,,,,,,,,
,사주 봐주는 노인,코드야 CODE. 인생에 대한 통찰이자 성격` 기질` 인간관계` 진로 뭐 그런 인생의 전반적인 걸 알게 해준다고.,,,,,,,,
,사주 봐주는 노인,인생의 서사를 구성하는` 명을 찾아가는 길에서 내 명예에 불필요한 잡음을 피하고` 내 세상에서 허용될 수 없는 불용한 요소를 배제함으로써,,,,,,,,
,사주 봐주는 노인,자신의 의지와 상관없이 주어진 명을 최대한 정의롭게 마무리 지을 수 있게 해주는 것이 이 명리학이다~~~이 말이여.,,,,,,,,
20.5,사주 봐주는 노인,人能知命 則營競之可以息 非分之想可以却凡一切富貴窮通壽夭之遭 皆聽之於天而循循焉 各安於義命 以共勉於聖賢之路 豈非士君子厚幸哉,,,,,,,,
20.7,주인공,사주를 볼까?,> 본다 (-5000원),21,> 보지 않는다,,,,,
21,사주 봐주는 노인,내 말 안 듣고 있지!!!!!!!!,,,,,,,,
22,정민,player씨도 이런 거 관심 있으세요?,,,,,,,,
,주인공,그냥 뭐....,,,,,,,,
,사주 봐주는 노인,그래...` player… player생일이라....,,,,,,,,
23,사주 봐주는 노인,1. 지상으로 엔딩 : 쥐가 네 손톱을 먹을거다,,,,,,,,
,사주 봐주는 노인,나갈 때 조심해. 쥐새끼 한 마리가 들러붙을 거야.,,,,,,,,
,주인공,…그게 다예요?,,,,,,,,
,사주 봐주는 노인,뭐` 조심하는 수밖에,,,,,,,,
,사주 봐주는 노인,손톱 조심해` 손톱.,,,,,,,,
,사주 봐주는 노인,알지? 쥐들이 그거 제엘루 좋아하는 거.,,,,,,,,
24,사주 봐주는 노인,2. 끝없는 열차: 끝없는 어둠 속이겠구나,,,,,,,,
,사주 봐주는 노인, 이번 생은 글렀구만.,,,,,,,,
,주인공,….,,,,,,,,
,사주 봐주는 노인,그래` 지하철을 타긴 탔는데... 내리지를 못 해.,,,,,,,,
,사주 봐주는 노인,그럼 그 지하철은 어디로 갈까?,,,,,,,,
,주인공,어디로 가는데요?,,,,,,,,
,주인공,.....,,,,,,,,
,사주 봐주는 노인,나야 모르지.,,,,,,,,
25,사주 봐주는 노인,"3. 다시,지상 : 스스로를 믿는가?",,,,,,,,
,사주 봐주는 노인,하는 일이 뭐야?,,,,,,,,
,주인공,....,,,,,,,,
,사주 봐주는 노인,뭐 됐다. 네가 누군지는 알지?,,,,,,,,
,주인공,네?,,,,,,,,
,사주 봐주는 노인,너 자신을 알라` 이 말이야. 테스형 몰라?,,,,,,,,
,사주 봐주는 노인,까먹지 말라고.,,,,,,,,
26,사주 봐주는 노인,4.  히든 : 귀인을 만나겠군,,,,,,,,
,사주 봐주는 노인,주변에 도와주는 사람이 있네.,,,,,,,,
,주인공,??,,,,,,,,
,정민,??,,,,,,,5,
,사주 봐주는 노인,그 사람 잘 잡아. 귀인이니까.,,,,,,,,
27,사주 봐주는 노인,5. 집으로 : 원하는 대로 이루어질 것,,,,,,,,
,사주 봐주는 노인,그게 그렇게 하고 싶었어?,,,,,,,,
,주인공,네?,,,,,,,,
,사주 봐주는 노인,그럼 해야지.,,,,,,,,
,주인공,....,,,,,,,,
,사주 봐주는 노인,걱정말어. 다 잘 되게 되어있어.,,,,,,,,
28,사주 봐주는 노인,6. 새를 조심해,,,,,,,,
,사주 봐주는 노인,새들 조심혀.,,,,,,,,
,주인공,네?,,,,,,,,
,사주 봐주는 노인,고것들이 생각보다 많이 위험해.,,,,,,,,
,사주 봐주는 노인,이거 봐` 이거.,,,,,,,,
,사주 봐주는 노인,고렇게 눈알 부라리다가 눈깔 파먹히고 그런다` 이제.,,,,,,,,
29,사주 봐주는 노인,7.물을 조심해,,,,,,,,
,사주 봐주는 노인,넘쳐 흐른다....,,,,,,,,
,주인공,네?,,,,,,,,
,사주 봐주는 노인,축축하구만.,,,,,,,,
,사주 봐주는 노인,곧 홍수가 날 겨.,,,,,,,,
,주인공,네??,,,,,,,,
,사주 봐주는 노인,아니다` 이미 났네.,,,,,,,,
,사주 봐주는 노인,알아서 조심혀.,,,,,,,,
30,사주 봐주는 노인,8. .... 그게 시작되면` 막기는 힘들 테야. 도망칠 수 있다면 도망쳐. 결국은 반복될 뿐이니까.,,,,,,,,
,사주 봐주는 노인,"지진... 아니, 사람들인가?",,,,,,,,
,사주 봐주는 노인,그게 시작되면 막기는 어려우니까` 무조건 도망쳐.,,,,,,,,
,사주 봐주는 노인,봐봐` 지금 신발끈 풀렸지.,,,,,,,,
,사주 봐주는 노인,잘 묶고` 잘 도망쳐라잉.,,,,,,,,
31,사주 봐주는 노인,9. 사라진 사람들을 찾고 있나? 이런` 자네가 아니었군.,,,,,,,,
,사주 봐주는 노인,사람들은 거기 모여있어.,,,,,,,,
,주인공,네?,,,,,,,,
,사주 봐주는 노인,사라진 사람을 찾고 있던 게 아니었나?,,,,,,,,
,사주 봐주는 노인,이런... 자네가 아니었군. ,,,,,,,,
,사주 봐주는 노인,그래도 이왕 돈 낸 거 새겨 들어.,,,,,,,,
32,사주 봐주는 노인,10. 정 찝찝하면 거울 좀 봐.,,,,,,,,
,사주 봐주는 노인,찝찝하냐?,,,,,,,,
,주인공,네?,,,,,,,,
,사주 봐주는 노인,쯧` 그럼 거울도 좀 보고 해야지.,,,,,,,,
33,사주 봐주는 노인,학생` 지금이 언제인지 알아?,,,,,,,,
,주인공,…?,,,,,,,,
,사주 봐주는 노인,열차는 제때제때 타야 해.,,,,,,,,
,사주 봐주는 노인,안 그러면 잘못 내리게 되거든.,,,,,,,,
,사주 봐주는 노인,내리지 못하게 되거나....,,,,,,,,
,사주 봐주는 노인,.......,,,,,,,,
,사주 봐주는 노인,지금이 언제인지 잘 기억하고 있으라고.,,,,,,,,
34,사주 봐주는 노인,12. 출구는 저쪽이야` 학생.,,,,,,,,
,사주 봐주는 노인,출구는 저쪽이야` 학생.,,,,,,,,
,주인공,??,,,,,,,,
35,주인공,(....?),,,,,,,,
,주인공,(뭐야` 내 5천원....),,,,,,,,
,정민,근데 사주가 원래 이런 건가요?,,,,,,,6,
,주인공,(아` 안 돼.),,,,,,,,
,주인공,(그 말을 꺼내면...),,,,,,,,
,사주 봐주는 노인,흐흠. 명리술은 수정구슬이나 현몽과 궤를 같이하며`,,,,,,,,
36,사주 봐주는 노인,특히수정구슬로무언가를비춰보고새로운것을통찰하는것과비슷한식으로풀이를활용....,,,,,,,,
37,주인공,(1시간은 더 들은 것 같다...),,,,,,,,
,사주 봐주는 노인,그래서 말이야...,,,,,,,,
,주인공,....저희 이제 진짜 가야해요.,,,,,,,,
,사주 봐주는 노인,아 잠깐만 기다려봐!,,,,,,,,
,사주 봐주는 노인,오 만원.,,,,,,,,
,주인공,돈 없는데요.,,,,,,,,
,사주 봐주는 노인,그냥 한번 불러봤어. 그럼 만 원.,,,,,,,,
,주인공,사주는 이미 봤는데...,,,,,,,,
,사주 봐주는 노인,그거 말고` 부적 말이야. ,,,,,,,,
,사주 봐주는 노인,살 텨?,> 산다(-10000원),35,> 사지 않는다,36,,,,
38,사주 봐주는 노인,매번 감사하네.,,,,,,,,
39,사주 봐주는 노인 ,좋을 대로 하던가.,,,,,,,,
40,시비거는 취객,아저씨! 나랑 가위바위보해.,,,,,,,,
41,주인공,가위바위보를 할까?,> 한다,,>하지 않는다,,,,,
42,시비거는 취객,안 내면 진 거` 가위 바위 보 !,,,,,,,,
43,시비거는 취객,보!,,,,,,,,
44,주인공,가위!,,,,,,,,
45,주인공,바위!,,,,,,,,
46,주인공,보!,,,,,,,,
47,시비거는 취객,에이씨.... 자` 이거 받고 꺼져.,,,,,,,,
48,시비거는 취객,오잉?,,,,,,,,
